trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-14.743060682165472,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-48.518353873321516,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-22.65484227833954,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-120.43738398795878,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-156.75469600061632,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-53.87810904620894,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-43.15037507495961,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-9.888472881465466,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-126.54273650541326,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-31.78029327899487,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-59.85360430775544,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-16.8950590259485,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,15,2.647572836058555,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,-2.0370053239586046,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-117.03429712539426,"{0: 24, 1: 2, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-43.5791574310338,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,11,-36.55354423363238,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-18.407632964839436,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-120.88664142679531,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-58.8165473309662,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-93.81383167772036,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-29.281670938268995,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,2.932186271772201,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,11,-19.88697270555042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,7,-0.9653470696683877,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,5.56886203180823,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-4.9079027872698955,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-43.107252283933406,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-94.03221024143299,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-61.41925778759888,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
