trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-155.05342302861422,"{0: 9, 1: 7, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.998}",35,0,-136.98821785479413,"{0: 19, 1: 6, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",25,0,-122.72962999290404,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-144.98877994399837,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.995}",30,0,-55.372088728305556,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-66.97848644298098,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-74.79540578517843,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,0,-172.60021138829757,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991}",30,0,-43.6443636549149,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-37.98365692049512,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-54.93374488344529,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",30,0,-191.21052666994365,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-117.46205159437649,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986}",30,19,-18.036945231942305,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.985}",25,0,-94.97769806446209,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-113.4738221763193,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-115.16496822857987,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-39.72990320433942,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981}",25,0,-105.63156001354054,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",30,0,-53.76660120428385,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.979}",25,0,-218.6570820526201,"{0: 8, 1: 6, 2: 7, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.978}",25,0,-54.72365414259823,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-74.13742269289895,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
