trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0075, 'e': 0.9999718751318357}",25,0,-88.89585230077213,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.0075, 'e': 0.9998875021093592}",35,0,-74.02266802243102,"{0: 23, 1: 4, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.0075, 'e': 0.9997468856785308}",25,0,-220.27178921403697,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.0075, 'e': 0.9995500337489875}",25,0,-169.5638794071128,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.0075, 'e': 0.9992969573935987}",25,5,-130.8297893582692,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",1
6,False,"{'a': 0.0075, 'e': 0.9989876708478425}",35,0,-200.97294232801846,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.0075, 'e': 0.9986221915090054}",20,0,-119.13657763972307,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.0075, 'e': 0.9982005399352042}",25,7,-162.72174920531177,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 3}",1
9,False,"{'a': 0.0075, 'e': 0.9977227398442284}",20,0,-143.6781828405578,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.0075, 'e': 0.9971888181122075}",20,8,-50.21482602525469,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.0075, 'e': 0.9965988047720977}",25,0,-30.431134327203612,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.0075, 'e': 0.9959527330119943}",30,0,-212.03294009496236,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.0075, 'e': 0.9952506391732631}",25,0,-103.79602722136693,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.0075, 'e': 0.9944925627484974}",25,0,-123.76774604249889,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.0075, 'e': 0.9936785463792964}",30,0,-166.66365939478123,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
